Date,Close,High,Low,Open,Volume
2015-01-28,53.09076690673828,54.2200410841672,52.986066594207294,54.2200410841672,15722100
2015-01-29,47.63136291503906,49.12709080926701,46.71897257976117,48.992475327315184,47115300
2015-01-30,46.71149826049805,47.87068759634853,46.65914810566383,47.145259946689485,26407800
2015-02-02,49.0074348449707,49.30658102355407,46.561923821590256,46.7339347286408,21130600
2015-02-03,50.07687759399414,50.136707969678085,48.9700441725344,49.19439952274121,16354200
2015-02-04,50.07687759399414,50.63777452811917,49.448675766528666,49.800166385759866,13089600
2015-02-05,50.8172492980957,50.847164479667434,49.94973185546546,50.23391752179067,10650500
2015-02-06,49.62067794799805,50.8172568602435,49.41127735157239,50.71255656203067,11779500
2015-02-09,50.18906021118164,51.57260489846832,50.07687967853918,50.97431823394001,15651100
2015-02-10,52.544837951660156,52.69440821805207,51.4753940003122,51.6698342054737,36081200
2015-02-11,52.5074348449707,53.06085159648707,52.3503843765298,52.776665849651984,13439300
2015-02-12,52.642051696777344,52.642051696777344,52.02132432530892,52.03628477358532,12798300
2015-02-13,53.008506774902344,53.04590219265882,52.55231006582366,52.71684077476871,8050200
2015-02-17,52.94867706298828,53.0309424096434,52.694400799034504,52.91876187277377,8764300
2015-02-18,52.75423812866211,53.00850872037126,52.43265692366885,52.604662157886246,8097400
2015-02-19,53.08329391479492,53.3001690643169,52.507436473578004,52.52239692193493,9785300
2015-02-20,53.48713684082031,53.63671280159999,52.79162431397844,52.97111546691404,8657300
2015-02-23,53.053375244140625,53.50957189153807,52.619613562067826,53.29269105050167,8617700
2015-02-24,53.374961853027344,53.449746980338126,52.62709916844052,52.903804710064385,10131900
2015-02-25,53.6068000793457,54.018126858267074,53.105733425561304,53.105733425561304,10578100
2015-02-26,53.85358810424805,54.04802827457356,53.55444191931945,53.74888779538387,9838700
2015-02-27,54.227516174316406,54.2723861023706,53.24781233447087,53.70400895548371,10297400
2015-03-02,54.65630340576172,54.83683458382114,53.86647017590492,54.00939380048425,8979300
2015-03-03,53.71601867675781,54.52841169919297,53.67088158624691,54.167349408995484,9236400
2015-03-04,53.29477310180664,53.78371713262688,53.076628665318175,53.482828056815826,8476200
2015-03-05,53.35494613647461,53.61069809215913,53.17441500663958,53.558042940166374,6955800
2015-03-06,53.791229248046875,53.92662901578822,53.03900959147951,53.07661713091956,12022100
2015-03-09,54.69390106201172,54.81425898492687,53.88902610420697,53.88902610420697,12754700
2015-03-10,54.07707977294922,55.73196100094194,54.054514097682826,55.56647746932787,29111600
2015-03-11,52.85847854614258,53.94920061132403,52.835912872204545,53.79875322010185,21690200
2015-03-12,52.181488037109375,53.06910760421901,52.053606313294004,52.65538443095464,16004300
2015-03-13,51.63235855102539,52.3845782335741,51.39164848216903,51.91068189960148,13946800
2015-03-16,52.65537643432617,52.67794210598971,51.83545975598806,52.00846706472886,11643400
2015-03-17,52.51997756958008,52.783253308488305,52.061123107919734,52.23413615861981,11540300
2015-03-18,52.828392028808594,53.02396501864114,51.94829061863866,52.354489945106124,10245700
2015-03-19,52.527523040771484,53.0992060985103,52.489909745848884,52.828412183203156,6959800
2015-03-20,52.68546676635742,53.11423175187925,52.49741184746222,52.8058189301804,22646600
2015-03-23,52.70805740356445,53.09169122673345,52.512478588362924,52.59522325098729,7700600
2015-03-24,51.88059997558594,52.82839852047757,51.88059997558594,52.64786163832002,9964700
2015-03-25,50.556697845458984,51.80538561083358,50.54917403968453,51.79786180505913,11980500
2015-03-26,50.519081115722656,50.73721979270763,49.40579336165046,50.05270280514166,13835900
2015-03-27,50.421287536621094,51.098286440785685,50.21066693065457,50.5642111216617,8560400
2015-03-30,51.81290054321289,51.90316899009873,50.74474974714913,50.95537038423416,11404500
2015-03-31,52.158905029296875,52.309352394761724,51.27129139846505,51.27129139846505,13035300
2015-04-01,52.226619720458984,52.256709200432105,51.48944180857111,51.504489418048415,10455800
2015-04-02,51.12837600708008,52.36201590614465,50.97041055233193,52.29431314612053,14206200
2015-04-06,50.970420837402344,51.12086251828668,49.781912045876446,49.78943585161534,11906300
2015-04-07,50.63943099975586,51.24120906753263,50.59429965331595,50.94032003364425,13948000
2015-04-08,50.59429931640625,50.8425274591538,50.34606543467776,50.35358923869464,15783100
2015-04-09,51.76022720336914,51.97084776647454,50.63189783903599,50.714642451538815,14169200
2015-04-10,52.02351760864258,52.05360134657184,51.504484175158666,51.65492582072863,10437900
2015-04-13,51.700069427490234,54.08460481836413,51.63236666115649,53.58061892924851,28612900
2015-04-14,51.88059997558594,52.053607313926626,51.6022765864959,52.023523572548605,12305100
2015-04-15,51.496944427490234,52.27925336800551,51.2938476949524,52.12128796736961,11923400
2015-04-16,51.08324432373047,51.3389962757412,50.94784454355389,51.27129925514345,10649900
2015-04-17,50.48146057128906,51.1133223150768,50.36862647733256,50.767301968862505,14011100
2015-04-20,51.63235855102539,51.752716454943936,50.54164230692204,50.58677365140113,12893800
2015-04-21,51.57970428466797,51.858027638002575,51.43678070606631,51.782801077276964,7839300
2015-04-22,51.8580207824707,52.06111754823068,51.338987424779525,51.72262102563735,13289500
2015-04-23,51.406700134277344,51.47440290286175,50.36863884083166,50.662004113739826,18341100
2015-04-24,51.331478118896484,51.39165708092479,50.90271305766278,51.17351264780846,8757800
2015-04-27,52.076168060302734,52.414664601787244,51.60978981874193,51.730141976543834,11818400
2015-04-28,52.392120361328125,52.51999637473035,51.91070005523984,51.933265735371684,8272600
2015-04-29,51.65491485595703,52.15890057451452,51.150929137399544,52.04607223377754,7660400
2015-04-30,51.15093231201172,51.594739117067284,50.85756712992888,51.39916615499875,8319800
2015-05-01,51.46687698364258,51.55714542505332,51.12085656670711,51.38413234709479,7166200
2015-05-04,51.94829177856445,52.173959989078824,51.316429971493804,51.48943729243796,7013800
2015-05-05,51.429264068603516,51.90316042383143,51.248727204628224,51.79032631859212,8660600
2015-05-06,51.00801086425781,51.79031996185391,50.774824617303885,51.30137605848381,7858200
2015-05-07,51.474403381347656,51.48944525284966,50.99298314753701,51.000506952778956,6514000
2015-05-08,52.21158218383789,52.21158218383789,51.56467265817202,51.790335168229575,7393300
2015-05-11,51.94077682495117,52.16643931000274,51.767763754661765,52.03103952337926,6379200
2015-05-12,51.745201110839844,51.918208452281185,51.22616760855248,51.67749834407199,8070400
2015-05-13,52.452293395996094,53.031500163408865,51.903170372698035,52.07618346575915,12031200
2015-05-14,53.046539306640625,53.15185536155281,52.512463921855975,52.64786371933531,10945700
2015-05-15,53.45273208618164,53.47529775980618,52.97883572312289,53.11423550385126,9858600
2015-05-18,52.971317291259766,53.50539266413716,52.84344130176412,53.40008235055467,5352500
2015-05-19,52.369529724121094,52.971301950461196,52.256695638251074,52.903604942327185,7609100
2015-05-20,52.11378479003906,52.53502602510997,52.06865344027615,52.504942284588964,8420200
2015-05-21,52.72308349609375,53.36999298896449,51.92573233747795,52.377063073694785,27529700
