Date,return,prev_day_return,prev_2day_return,prev_week_return,Target
2015-01-20,,0.003704992635243043,0.003704992635243043,0.010435925270585233,
2015-01-21,0.010435925270585233,0.003704992635243043,0.003704992635243043,0.010435925270585233,positive
2015-01-22,0.00861312387642088,0.020610314830222576,0.003704992635243043,0.010435925270585233,positive
2015-01-23,0.0014465090611583964,-0.01127249185592194,0.020610314830222576,0.010435925270585233,neutral
2015-01-26,-0.010486566001493669,0.0013413502624639584,-0.01127249185592194,0.010435925270585233,negative
2015-01-27,0.0010961114814800332,-0.0037141244128557904,0.0013413502624639584,0.010435925270585233,neutral
2015-01-28,0.014117199495208954,0.0018943336769174923,-0.0037141244128557904,0.00861312387642088,positive
2015-01-29,0.005306814464993037,0.01335845499445032,0.0018943336769174923,0.0014465090611583964,positive
2015-01-30,0.002528215349565599,-0.023054009355297,0.01335845499445032,-0.010486566001493669,neutral
2015-02-02,0.023228432159192458,0.01306247855840681,-0.023054009355297,0.0010961114814800332,positive
2015-02-03,0.002553652909996318,0.009244397675155946,0.01306247855840681,0.014117199495208954,neutral
2015-02-04,-0.0007233832180949529,-0.0068098622914372076,0.009244397675155946,0.005306814464993037,neutral
2015-02-05,0.004205248972207087,0.010557601696587371,-0.0068098622914372076,0.002528215349565599,neutral
2015-02-06,0.002353379268128286,-0.0028820146842147842,0.010557601696587371,0.023228432159192458,neutral
2015-02-09,0.005432173187927436,-0.007406893139603188,-0.0028820146842147842,0.002553652909996318,positive
2015-02-10,0.018917043204903283,0.005945491583042584,-0.007406893139603188,-0.0007233832180949529,positive
2015-02-11,0.015807394364595995,-0.0019112498335923656,0.005945491583042584,0.004205248972207087,positive
2015-02-12,0.015868016582497146,0.008694017525200382,-0.0019112498335923656,0.002353379268128286,positive
2015-02-13,0.013320533354241437,0.00018069838086609558,0.008694017525200382,0.005432173187927436,positive
2015-02-17,0.01729545232192975,0.005905779144713019,0.00018069838086609558,0.018917043204903283,positive
2015-02-18,0.013179812638471233,0.002875430823754188,0.005905779144713019,0.015807394364595995,positive
2015-02-19,0.00890138337210944,-0.0018516850440142285,0.002875430823754188,0.015868016582497146,positive
2015-02-20,0.015081812767356206,0.006164524470845034,-0.0018516850440142285,0.013320533354241437,positive
2015-02-23,0.003152615039129003,0.004104074152153192,0.006164524470845034,0.01729545232192975,neutral
2015-02-24,0.010011569958743305,0.001836218297842862,0.004104074152153192,0.013179812638471233,positive
2015-02-25,-0.005025641611143938,-0.00135948536804964,0.001836218297842862,0.00890138337210944,negative
2015-02-26,-0.010243604619983193,0.004262872125043282,-0.00135948536804964,0.015081812767356206,negative
2015-02-27,-0.012027530272919251,-0.005659877669528468,0.004262872125043282,0.003152615039129003,negative
2015-03-02,-0.025437602952606775,0.010969534577576212,-0.005659877669528468,0.010011569958743305,negative
2015-03-03,-0.024223190897531888,-0.013079277346960239,0.010969534577576212,-0.005025641611143938,negative
2015-03-04,-0.03571668262467953,-0.00659667487001403,-0.013079277346960239,-0.010243604619983193,negative
2015-03-05,-0.03248394729078652,0.0024528001636621166,-0.00659667487001403,-0.012027530272919251,negative
2015-03-06,-0.01849965059812253,-0.01915638057559066,0.0024528001636621166,-0.025437602952606775,negative
2015-03-09,-0.009856226649003541,0.012229313934777108,-0.01915638057559066,-0.024223190897531888,negative
2015-03-10,-0.0009615437476824251,-0.02470403113834918,0.012229313934777108,-0.03571668262467953,neutral
2015-03-11,0.0121409761821476,-0.003266315449614976,-0.02470403113834918,-0.03248394729078652,positive
2015-03-12,0.02930804004308407,0.01694206609224902,-0.003266315449614976,-0.01849965059812253,positive
2015-03-13,0.007235374948936446,-0.010518740012711691,0.01694206609224902,-0.009856226649003541,positive
2015-03-16,0.023043118920019312,0.02132239618524734,-0.010518740012711691,-0.0009615437476824251,positive
2015-03-17,-0.00048150210313235853,-0.011912897033832581,0.02132239618524734,0.0121409761821476,neutral
2015-03-18,0.012726611451908454,0.013639423195179967,-0.011912897033832581,0.02930804004308407,positive
2015-03-19,-0.022646386334363,-0.004865420852150137,0.013639423195179967,0.007235374948936446,negative
2015-03-20,-0.018531972062977964,0.005010367493919032,-0.004865420852150137,0.023043118920019312,negative
2015-03-23,-0.01795950114523015,-0.002162657248354405,0.005010367493919032,-0.00048150210313235853,negative
2015-03-24,-0.0004813517304766979,0.0011441566232124334,-0.002162657248354405,0.012726611451908454,neutral
2015-03-25,-0.008237556174355842,-0.021765457714738812,0.0011441566232124334,-0.022646386334363,negative
2015-03-26,-0.0011065176246036756,-0.0006761531632137885,-0.021765457714738812,-0.018531972062977964,neutral
2015-03-27,0.0012912637766639978,0.00559657019339399,-0.0006761531632137885,-0.01795950114523015,neutral
2015-03-30,0.012110355908604875,0.015596641058153615,0.00559657019339399,-0.0004813517304766979,positive
2015-03-31,0.0009635495958371099,-0.006624661667480103,0.015596641058153615,-0.008237556174355842,neutral
2015-04-01,0.008002238914132986,-0.01473168841326511,-0.006624661667480103,-0.0011065176246036756,positive
2015-04-02,0.026273730951085872,0.001722661301057471,-0.01473168841326511,0.0012912637766639978,positive
2015-04-06,0.026228626076186812,0.016462181763248873,0.001722661301057471,0.012110355908604875,positive
2015-04-07,0.002175089733774449,0.004411438788772815,0.016462181763248873,0.0009635495958371099,neutral
2015-04-08,-0.0013236722101825915,0.00036066800391787446,0.004411438788772815,0.008002238914132986,neutral
2015-04-09,0.0010226320662267696,0.0031277184555251747,0.00036066800391787446,0.026273730951085872,neutral
2015-04-10,-0.005396081802860664,0.0016786354491247213,0.0031277184555251747,0.026228626076186812,negative
2015-04-13,-0.032082341577000406,-0.007362441140921661,0.0016786354491247213,0.002175089733774449,negative
2015-04-14,-0.00801950344709046,0.0009048693737987445,-0.007362441140921661,-0.0013236722101825915,negative
2015-04-15,-0.01198868638656203,0.002710929493026981,0.0009048693737987445,0.0010226320662267696,negative
2015-04-16,-0.010634659524433765,-0.0033044935571305833,0.002710929493026981,-0.005396081802860664,negative
2015-04-17,-0.03755510720956323,-0.025197446362673293,-0.0033044935571305833,-0.032082341577000406,negative
2015-04-20,-0.016819964283843025,0.01731494406084355,-0.025197446362673293,-0.00801950344709046,negative
2015-04-21,-0.0396936610155697,-0.0031000224011482613,0.01731494406084355,-0.01198868638656203,negative
2015-04-22,-0.03457297679650839,0.004085101544273773,-0.0031000224011482613,-0.010634659524433765,negative
2015-04-23,-0.04675972562147357,-0.03042439370069283,0.004085101544273773,-0.03755510720956323,negative
2015-04-24,-0.02048090947831549,-0.004196067036503215,-0.03042439370069283,-0.016819964283843025,negative
2015-04-27,-0.00823965231503665,-0.0063529017718388925,-0.004196067036503215,-0.0396936610155697,negative
2015-04-28,0.006583127127309796,0.0022157917052874065,-0.0063529017718388925,-0.03457297679650839,positive
2015-04-29,-0.002653055346215183,-0.008589634750973407,0.0022157917052874065,-0.04675972562147357,neutral
2015-04-30,0.004267892583479593,-0.003695247042005967,-0.008589634750973407,-0.02048090947831549,neutral
2015-05-01,0.014195327228289534,0.00824870524569743,-0.003695247042005967,-0.00823965231503665,positive
2015-05-04,0.018518400657140166,0.008498076909597918,0.00824870524569743,0.006583127127309796,positive
2015-05-05,0.005533846469451875,-0.006980317071596298,0.008498076909597918,-0.002653055346215183,positive
2015-05-06,0.01367849986597669,-0.0017098828736265004,-0.006980317071596298,0.004267892583479593,positive
2015-05-07,0.023281263485218417,0.006153470012823181,-0.0017098828736265004,0.014195327228289534,positive
2015-05-08,0.02862391798927799,0.012546430812263143,0.006153470012823181,0.018518400657140166,positive
