Date,return,prev_day_return,prev_2day_return,prev_week_return,volume_1d,volume_5d,volatility_5d,volatility_21d,ma_5d,ma_21d,rsi_5d,rsi_21d,Target
2015-01-27,,0.0018946464403355456,0.0018946464403355456,0.014117279817656536,5012077,3918454.8,0.10810730880871658,0.02838455428361896,97.9374008178711,99.40883309500558,40.98993650594188,45.64551015832792,
2015-01-28,0.014117279817656536,0.0018946464403355456,0.0018946464403355456,0.014117279817656536,4275222,3918454.8,0.10810730880871658,0.02838455428361896,97.9374008178711,99.40883309500558,42.670164791767554,46.15722111546631,positive
2015-01-29,0.005306891606598585,0.013358452911355956,0.0018946464403355456,0.014117279817656536,3198822,3918454.8,0.10810730880871658,0.02838455428361896,97.9374008178711,99.40883309500558,55.53475416076752,49.922374073103434,neutral
2015-01-30,0.0025282919018412287,-0.023054467455628114,0.013358452911355956,0.014117279817656536,4260032,3918454.8,0.10810730880871658,0.02838455428361896,97.9374008178711,99.40883309500558,23.09491696920304,42.04866967932235,neutral
2015-02-02,0.02322883326192704,0.013062482673454445,-0.023054467455628114,0.014117279817656536,2846121,3918454.8,0.10810730880871658,0.02838455428361896,97.9374008178711,99.40883309500558,34.116853642838095,45.84895782822674,positive
2015-02-03,0.002554042411734958,0.00924463377443363,0.013062482673454445,0.014117279817656536,3115341,3539107.6,0.10810730880871658,0.02838455428361896,98.2131576538086,99.40883309500558,46.975820775805055,48.86452395411906,neutral
2015-02-04,-0.0007231521855595169,-0.0068095546983207855,0.00924463377443363,0.005306891606598585,2826866,3249436.4,0.11256844480968416,0.02838455428361896,98.3170150756836,99.40883309500558,31.656033646061275,46.367012262050046,neutral
2015-02-05,0.0042048602060036355,0.01055759924012234,-0.0068095546983207855,0.0025282919018412287,2452398,3100151.6,0.10904020701668243,0.02838455428361896,98.36715545654297,99.40883309500558,49.14893626428634,49.944361903332315,neutral
2015-02-06,0.002352994989860413,-0.0028821675152229664,0.01055759924012234,0.02322883326192704,2184972,2685139.6,0.06298339865210295,0.02838455428361896,98.81720275878907,99.40883309500558,42.08583774731318,48.90868284300225,neutral
2015-02-09,0.00543209580069548,-0.007406892569501111,-0.0028821675152229664,0.002554042411734958,2479308,2611777.0,0.061992262940645484,0.02838455428361896,98.8673324584961,99.40883309500558,19.03061227374144,46.191643468799455,neutral
2015-02-10,0.018917196824966842,0.005945568665486789,-0.007406892569501111,-0.0007231521855595169,2254580,2439624.8,0.05682550103834605,0.02838455428361896,98.85300750732422,99.40883309500558,25.501600885004265,48.134051946290995,positive
2015-02-11,0.01580762318305462,-0.0019115578795876331,0.005945568665486789,0.0042048602060036355,2027340,2279719.6,0.05143111513664338,0.02838455428361896,98.93573455810547,99.40883309500558,18.315087393342367,47.45343823971982,positive
2015-02-12,0.015868327964752904,0.00869401886812704,-0.0019115578795876331,0.002352994989860413,1932377,2175715.4,0.04716746618010398,0.02838455428361896,98.98251647949219,99.40883309500558,28.190884063964475,50.307504128699684,positive
2015-02-13,0.013320535394070854,0.0001808515427814683,0.00869401886812704,0.00543209580069548,2143232,2167367.4,0.04537863414583179,0.02838455428361896,99.09020538330078,99.40883309500558,28.44838082449104,50.368041444432734,positive
2015-02-17,0.017295375768652255,0.005906008804545504,0.0001808515427814683,0.018917196824966842,2512676,2174041.0,0.03149068552079917,0.02838455428361896,99.4624526977539,99.40883309500558,37.366840345695685,52.32677548340932,positive
2015-02-18,0.013179809629369155,0.002875582374875618,0.005906008804545504,0.01580762318305462,1856192,2094363.4,0.03029541595508231,0.02838455428361896,99.77536010742188,99.40883309500558,42.59940959932886,53.293481282273255,positive
2015-02-19,0.008900621138751452,-0.0018519119982103316,0.002875582374875618,0.015868327964752904,1971965,2083288.4,0.030170212355863542,0.02838455428361896,100.0888687133789,99.40883309500558,38.12233754138294,52.75661810151367,neutral
2015-02-20,0.015081658421351563,0.00616421942796519,-0.0018519119982103316,0.013320535394070854,2890254,2274863.8,0.024940160930142875,0.02838455428361896,100.35432891845703,99.40883309500558,48.092371249255955,54.74782513647644,positive
2015-02-23,0.003152388833713049,0.004104150332980616,0.00616421942796519,0.017295375768652255,2195856,2285388.6,0.0230772339647211,0.02838455428361896,100.69906463623047,99.40883309500558,55.93170573167397,56.09870601548686,neutral
2015-02-24,0.010011043949742726,0.0018365194431007037,0.004104150332980616,0.013179809629369155,2117279,2206309.2,0.021131942947687946,0.02838455428361896,100.96331939697265,99.40883309500558,59.41287032438551,56.69735843439864,positive
2015-02-25,-0.0050261662754113035,-0.0013600859722759928,0.0018365194431007037,0.008900621138751452,2414844,2318039.6,0.0245098401386161,0.02838455428361896,101.14228973388671,99.40883309500558,57.85597214619394,56.368353897837125,neutral
2015-02-26,-0.010243458040159692,0.004263249808838188,-0.0013600859722759928,0.015081658421351563,2140122,2351671.0,0.02045017921622858,0.02838455428361896,101.44498443603516,99.60878463018508,64.00425822670181,57.67472655303741,negative
2015-02-27,-0.012027754963374604,-0.0056602521536204264,0.004263249808838188,0.003152388833713049,2327416,2239103.4,0.029752191072209614,0.028975911516404638,101.5086441040039,99.77246820359002,59.40233365127506,56.39133922430299,negative
2015-03-02,-0.02543700994747866,0.010969312739377068,-0.0056602521536204264,0.010011043949742726,2658828,2331697.8,0.04427348194876144,0.02844960788116944,101.71163787841797,99.92681485130673,73.98347509440079,59.7143019964034,negative
2015-03-03,-0.024222758300365577,-0.013078987119273022,0.010969312739377068,-0.0050261662754113035,2669950,2442232.0,0.06532820364678683,0.02390674869262756,101.60953521728516,100.1262454078311,65.91542581088024,56.79131066377764,negative
2015-03-04,-0.03571616495731045,-0.006596601368768384,-0.013078987119273022,-0.010243458040159692,1884537,2336170.6,0.06778799473858961,0.023072731660369713,101.40173034667968,100.23367345900763,61.11323284745541,55.252135032475984,negative
2015-03-05,-0.03248365071831971,0.00245280072286036,-0.006596601368768384,-0.012027754963374604,1850451,2278236.4,0.06589050841032554,0.022189242147015155,101.1566879272461,100.30962517147972,63.768100450338096,55.953301552312475,negative
2015-03-06,-0.018499351570917755,-0.019155930080491324,0.00245280072286036,-0.02543700994747866,2528822,2318517.6,0.08539387450573935,0.026304364549791737,100.64139099121094,100.32589104062035,50.225185200978835,51.349986684018546,negative
2015-03-09,-0.009856610809524491,0.012228924653336914,-0.019155930080491324,-0.024222758300365577,1923288,2171409.6,0.08841723520867963,0.026726459560144394,100.14530944824219,100.35018484933036,61.79575293097554,54.763019000407084,neutral
2015-03-10,-0.0009613148282392459,-0.024703653133787196,0.012228924653336914,-0.03571616495731045,3067262,2250872.0,0.10768579375330446,0.03269564610141427,99.42341003417968,100.2705804734003,38.69119913485759,48.03702584147401,neutral
2015-03-11,0.012140660172764495,-0.003266471261386572,-0.024703653133787196,-0.03248365071831971,2265583,2327081.2,0.10841986144932979,0.03233899239203667,98.77117767333985,100.21077946254185,34.611465690337084,47.07047259626564,positive
2015-03-12,0.029307802102960023,0.01694206476151705,-0.003266471261386572,-0.018499351570917755,2051140,2367219.0,0.13090422072220528,0.03465376945323165,98.39882202148438,100.20148577008929,47.75383937779342,51.81586102008947,positive
2015-03-13,0.007235065440218014,-0.01051897091267806,0.01694206476151705,-0.009856610809524491,2732501,2407954.8,0.1204164767163241,0.035531504028542604,98.20422821044922,100.15172286260696,35.354970245195574,48.70628489993318,neutral
2015-03-16,0.023042966400315112,0.021322633689733195,-0.01051897091267806,-0.0009613148282392459,2524995,2528296.2,0.1362467153196757,0.03863006822060817,98.18501739501953,100.1603041149321,57.09748107377704,55.55494434994042,positive
2015-03-17,-0.00048150206633190695,-0.01191304898114176,0.021322633689733195,0.012140660172764495,3059248,2526693.4,0.11074364754112867,0.039690631674221856,98.42164154052735,100.1113986060733,40.352401974725105,51.877698237042495,neutral
2015-03-18,0.012726303034803488,0.013639346899816163,-0.01191304898114176,0.029307802102960023,3662630,2806102.8,0.11261782905610981,0.040845110688914596,98.9909912109375,100.09852672758556,62.390858257800836,56.95467446415003,positive
2015-03-19,-0.022646542409766157,-0.004865497904272265,0.013639346899816163,0.007235065440218014,2336386,2863152.0,0.10679546398814087,0.04093012588824148,99.13392486572266,100.04876309349423,55.3342970186321,55.45337577430315,negative
2015-03-20,-0.01853189964355606,0.005010291963879032,-0.004865497904272265,0.023042966400315112,5228673,3362386.4,0.09549763668671818,0.04111547006947979,99.58436584472656,100.03160313197544,65.39290378296238,57.40743387391366,negative
2015-03-23,-0.017958972523852257,-0.002162276406511454,0.005010291963879032,-0.00048150206633190695,2580131,3373413.6,0.0693215509112586,0.040834637486442955,99.57475280761719,99.97469075520833,63.063138921866475,56.778303463364225,negative
