,Nominal comp. (wt%),,,,,,,,,,,,,,,,,,,,,,,,Ave. Erp,Test Temp,Test Solution,[Cl-],pH,Test Method,Scan Rate,Heat treatment,Microstructures,Comments,Material class,Reference,,
No.,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd,VSCE,oC,,M,pH,,mV/s,,,,,,,
30,9.72,15.50,73.86,0.00,0.00,NA,0.00,0.04,0.26,0.31,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,265.00,80.00,0.0007 M Cl- solution,0.00,7.00,"Cyclic Polarization. The potential was changed in steps of 10 mV every hour for the positive polarization direction until the onset of pitting or appearance of pits, and every 100 s for the reverse scan until zero current.",0.17,NA,NA,"Samples were gradually ground to a 4/0 finish using emery paper and an electrical connection was made. Degreased in acetone first, then in methanol, they were fixed on the base of an appropriate cell and their edges were masked with a silicon-base sealer to prevent crevice corrosion. ",Other,36,,
31,71.49,16.62,8.46,0.21,0.00,NA,0.00,0.05,0.56,1.78,0.21,0.03,0.007,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-35.00,80.00,0.0007 M NaCl + 0.00008 M Na2S2O3,0.00,7.00,Cyclic Polarization,0.10,,NA,"AISI SS304, as -recieved",Fe Alloy,36,,
32,47.64,18.50,31.79,0.20,0.00,NA,0.00,0.02,0.39,0.70,0.64,NA,0.004,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,80.00,0.0007 M NaCl + 0.00008 M Na2S2O3,0.00,7.00,Cyclic Polarization,0.10,,NA,"Alloy 800, as-recieved",Fe Alloy,36,,
33,9.72,15.50,73.86,0.00,0.00,NA,0.00,0.04,0.26,0.31,0.31,NA,0.001,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-35.00,80.00,0.0007 M NaCl + 0.00008 M Na2S2O3,0.00,7.00,Cyclic Polarization,0.10,,NA,"Alloy 600, as-recieved",Other,36,,
34,71.04,17.40,5.47,0.00,0.00,0.06,0.00,0.02,0.27,5.70,NA,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-51.20,25.00,"0.1 N H2SO4, 0.1N NaCl",0.10,1.20,Potentiodynamic Polarization,1.67,Heating 1 hour in air at 1050 oC and water quenched.,NA,The specimens were cut from rods and mounted in epoxy resin so that the exposed surface was about 0.8 cm^2. This surface was coarse-ground with SiC papers and then fine-grounwith alumina paste.,Fe Alloy,66,,
35,68.76,18.60,11.05,0.03,0.00,0.02,0.00,0.02,0.49,1.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210.00,20.00,NaCl,0.60,7.00,,,,,NA,Fe Alloy,53,,
36,68.69,18.40,11.15,0.03,0.00,0.14,0.00,0.02,0.60,0.95,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195.00,20.00,NaCl,0.60,7.00,,,,,NA,Fe Alloy,53,,
37,63.97,17.35,13.70,2.69,0.00,0.04,0.00,0.02,0.53,1.67,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,406.67,20.00,NaCl,0.60,7.00,,,,,NA,Fe Alloy,53,,
38,64.42,17.35,13.70,2.69,0.00,0.03,0.00,0.03,0.33,1.43,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,456.67,20.00,NaCl,0.60,7.00,,,,,NA,Fe Alloy,53,,
39,64.26,17.12,13.60,2.62,0.00,0.13,0.00,0.03,0.53,1.69,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,456.67,20.00,NaCl,0.60,7.00,,,,,NA,Fe Alloy,53,,
40,71.00,18.70,10.30,0.00,0.00,NA,0.00,NA,NA,NA,NA,NA,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-205.00,25.00,1M KCl,1.00,7.00,"To
measure the protection potential, many pits were produced by polarizing at +500 mV for 120 s; then the
potential was swept in the negative direction at 1 mV/s.",1.00,annealed at 1200C for 24hr and water quenched,,"To 
measure the protection potential, many pits were produced by polarizing at +500 mV for 120 s; then the
potential was swept in the negative direction at 1 mV/s.",Fe Alloy,68,,
41,69.70,16.60,11.00,2.70,0.00,NA,0.00,NA,NA,NA,NA,NA,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-80.00,25.00,1M KCl,1.00,7.00,"To
measure the protection potential, many pits were produced by polarizing at +500 mV for 120 s; then the
potential was swept in the negative direction at 1 mV/s.",1.00,annealed at 1200C for 24hr and water quenched,,"To measure the protection potential, many pits were produced by polarizing at +500 mV for 120 s; then the
potential was swept in the negative direction at 1 mV/s.",Fe Alloy,68,,
42,70.00,2.00,0.00,0.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-494.00,NA,distilled water adjusted to pH 4(6.25 x 10–5 M H2SO4) containing 200 ppm Cl- (5.5 x 10-3 NaCl),0.01,4.00,"Potentiodynamic Polarization - the sample was stabilized in the electrolyte, which was sparged continuously with oxygen (O2), until the potential change was < 1 mV/min. This potential was considered as the OCP. Then, the sample was scanned potentiodynamically at a rate of 600 mV/h to a potential corresponding to a
current density of 10–3 A/cm2 and then scan direction was reversed. The downscan was continued until either the protection potential (Ep) was identified or it was demonstrated that no hysteresis loop was developing.",,"annealing in air for 1 h at 850° C (recrystallization) plus 7 days at 500°C (ordering) followed by cooling in air,which produced the DO3 -ordered structure", the DO3 -ordered structure,"To prevent the initiation of crevice corrosion between the epoxy and specimen, the epoxy-specimen interface was painted with Amercoat 90 epoxy leaving an exposed area of 1 cm2 on the material surface. The painted sample was cured in an oven for 10 h at 70C. Just before introduction into the polarization cell, the exposed metal surface was polished by hand with cloth and a 9-microm diamond paste to remove the air-formed oxide film created during the epoxy curing process. The interface seal was abraded slightly but not damaged.
 Polarization tests were conducted in an aerated electrolyte.",Fe Alloy,67,,
43,68.95,2.00,0.00,1.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,-214.00,NA,distilled water adjusted to pH 4(6.25 x 10–5 M H2SO4) containing 200 ppm Cl- (5.5 x 10-3 NaCl),0.01,4.00,"Potentiodynamic Polarization - the sample was stabilized in the electrolyte, which was sparged continuously with oxygen (O2), until the potential change was < 1 mV/min. This potential was considered as the OCP. Then, the sample was scanned potentiodynamically at a rate of 600 mV/h to a potential corresponding to a
current density of 10–3 A/cm2 and then scan direction was reversed. The downscan was continued until either the protection potential (Ep) was identified or it was demonstrated that no hysteresis loop was developing.",,"annealing in air for 1 h at 850° C (recrystallization) plus 7 days at 500°C (ordering) followed by cooling in air,which produced the DO3 -ordered structure", the DO3 -ordered structure,"To prevent the initiation of crevice corrosion between the epoxy and specimen, the epoxy-specimen interface was painted with Amercoat 90 epoxy leaving an exposed area of 1 cm2 on the material surface. The painted sample was cured in an oven for 10 h at 70C. Just before introduction into the polarization cell, the exposed metal surface was polished by hand with cloth and a 9-microm diamond paste to remove the air-formed oxide film created during the epoxy curing process. The interface seal was abraded slightly but not damaged.
 Polarization tests were conducted in an aerated electrolyte.",Fe Alloy,67,,
44,67.95,2.00,0.00,2.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,-94.00,NA,distilled water adjusted to pH 4(6.25 x 10–5 M H2SO4) containing 200 ppm Cl- (5.5 x 10-3 NaCl),0.01,4.00,"Potentiodynamic Polarization - the sample was stabilized in the electrolyte, which was sparged continuously with oxygen (O2), until the potential change was < 1 mV/min. This potential was considered as the OCP. Then, the sample was scanned potentiodynamically at a rate of 600 mV/h to a potential corresponding to a
current density of 10–3 A/cm2 and then scan direction was reversed. The downscan was continued until either the protection potential (Ep) was identified or it was demonstrated that no hysteresis loop was developing.",,"annealing in air for 1 h at 850° C (recrystallization) plus 7 days at 500°C (ordering) followed by cooling in air,which produced the DO3 -ordered structure",the DO3 -ordered structure,"To prevent the initiation of crevice corrosion between the epoxy and specimen, the epoxy-specimen interface was painted with Amercoat 90 epoxy leaving an exposed area of 1 cm2 on the material surface. The painted sample was cured in an oven for 10 h at 70C. Just before introduction into the polarization cell, the exposed metal surface was polished by hand with cloth and a 9-microm diamond paste to remove the air-formed oxide film created during the epoxy curing process. The interface seal was abraded slightly but not damaged.
 Polarization tests were conducted in an aerated electrolyte.",Fe Alloy,67,,
45,67.50,4.00,0.00,0.50,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-394.00,NA,distilled water adjusted to pH 4(6.25 x 10–5 M H2SO4) containing 200 ppm Cl- (5.5 x 10-3 NaCl),0.01,4.00,"Potentiodynamic Polarization - the sample was stabilized in the electrolyte, which was sparged continuously with oxygen (O2), until the potential change was < 1 mV/min. This potential was considered as the OCP. Then, the sample was scanned potentiodynamically at a rate of 600 mV/h to a potential corresponding to a
current density of 10–3 A/cm2 and then scan direction was reversed. The downscan was continued until either the protection potential (Ep) was identified or it was demonstrated that no hysteresis loop was developing.",,"annealing in air for 1 h at 850° C (recrystallization) plus 7 days at 500°C (ordering) followed by cooling in air,which produced the DO3 -ordered structure",the DO3 -ordered structure,"To prevent the initiation of crevice corrosion between the epoxy and specimen, the epoxy-specimen interface was painted with Amercoat 90 epoxy leaving an exposed area of 1 cm2 on the material surface. The painted sample was cured in an oven for 10 h at 70C. Just before introduction into the polarization cell, the exposed metal surface was polished by hand with cloth and a 9-microm diamond paste to remove the air-formed oxide film created during the epoxy curing process. The interface seal was abraded slightly but not damaged.
 Polarization tests were conducted in an aerated electrolyte.",Fe Alloy,67,,
46,67.00,4.00,0.00,1.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-224.00,NA,distilled water adjusted to pH 4(6.25 x 10–5 M H2SO4) containing 200 ppm Cl- (5.5 x 10-3 NaCl),0.01,4.00,"Potentiodynamic Polarization - the sample was stabilized in the electrolyte, which was sparged continuously with oxygen (O2), until the potential change was < 1 mV/min. This potential was considered as the OCP. Then, the sample was scanned potentiodynamically at a rate of 600 mV/h to a potential corresponding to a
current density of 10–3 A/cm2 and then scan direction was reversed. The downscan was continued until either the protection potential (Ep) was identified or it was demonstrated that no hysteresis loop was developing.",,"annealing in air for 1 h at 850° C (recrystallization) plus 7 days at 500°C (ordering) followed by cooling in air,which produced the DO3 -ordered structure",the DO3 -ordered structure,"To prevent the initiation of crevice corrosion between the epoxy and specimen, the epoxy-specimen interface was painted with Amercoat 90 epoxy leaving an exposed area of 1 cm2 on the material surface. The painted sample was cured in an oven for 10 h at 70C. Just before introduction into the polarization cell, the exposed metal surface was polished by hand with cloth and a 9-microm diamond paste to remove the air-formed oxide film created during the epoxy curing process. The interface seal was abraded slightly but not damaged.
 Polarization tests were conducted in an aerated electrolyte.",Fe Alloy,67,,
47,66.00,4.00,0.00,2.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,NA,distilled water adjusted to pH 4(6.25 x 10–5 M H2SO4) containing 200 ppm Cl- (5.5 x 10-3 NaCl),0.01,4.00,"Potentiodynamic Polarization - the sample was stabilized in the electrolyte, which was sparged continuously with oxygen (O2), until the potential change was < 1 mV/min. This potential was considered as the OCP. Then, the sample was scanned potentiodynamically at a rate of 600 mV/h to a potential corresponding to a
current density of 10–3 A/cm2 and then scan direction was reversed. The downscan was continued until either the protection potential (Ep) was identified or it was demonstrated that no hysteresis loop was developing.",,"annealing in air for 1 h at 850° C (recrystallization) plus 7 days at 500°C (ordering) followed by cooling in air,which produced the DO3 -ordered structure", the DO3 -ordered structure,"To prevent the initiation of crevice corrosion between the epoxy and specimen, the epoxy-specimen interface was painted with Amercoat 90 epoxy leaving an exposed area of 1 cm2 on the material surface. The painted sample was cured in an oven for 10 h at 70C. Just before introduction into the polarization cell, the exposed metal surface was polished by hand with cloth and a 9-microm diamond paste to remove the air-formed oxide film created during the epoxy curing process. The interface seal was abraded slightly but not damaged.
 Polarization tests were conducted in an aerated electrolyte.",Fe Alloy,67,,
48,18.50,17.20,19.40,0.00,0.00,0.00,0.00,NA,NA,NA,21.00,NA,NA,4.50,0.00,0.00,0.00,0.00,0.00,19.50,0.00,0.00,0.00,0.00,49.00,25.00, Deaerated 1N H2SO4,0.000001,0.00,Potentiodynamic Polarization in a three electrode flat cell,1.00,NA,FCC,NA,HEA,18,,
49,18.30,17.10,19.30,0.00,0.00,0.00,0.00,NA,NA,NA,20.90,NA,NA,4.40,0.00,0.00,0.00,0.00,0.00,19.30,0.70,0.00,0.00,0.00,25.00,25.00, Deaerated 1N H2SO4,0.000001,0.00,Potentiodynamic Polarization in a three electrode flat cell,1.00,NA,FCC and Fe and Cr borides,NA,HEA,18,,
50,18.10,16.80,19.00,0.00,0.00,0.00,0.00,NA,NA,NA,20.60,NA,NA,4.40,0.00,0.00,0.00,0.00,0.00,19.10,2.10,0.00,0.00,0.00,-156.00,25.00, Deaerated 1N H2SO4,0.000001,0.00,Potentiodynamic Polarization in a three electrode flat cell,1.00,NA,FCC and Fe and Cr borides,NA,HEA,18,,
51,17.80,16.60,18.70,0.00,0.00,0.00,0.00,NA,NA,NA,20.30,NA,NA,4.30,0.00,0.00,0.00,0.00,0.00,18.80,3.50,0.00,0.00,0.00,-344.00,25.00, Deaerated 1N H2SO4,0.000001,0.00,Potentiodynamic Polarization in a three electrode flat cell,1.00,NA,FCC and Fe and Cr borides,NA,HEA,18,,
52,18.12,16.87,28.56,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,7.77,28.68,0.00,0.00,0.00,0.00,-208.50,25.00,Dearated 1M NaCl,1.00,7.00,"Potentiodynamic Polarization in a the electrode flat cell, prior to sweep help at OCP for 5 mins then cathodically polarized for 5mins to remove surface films",1.00,NA,FCC,NA,HEA,24,,
53,17.57,16.36,27.70,3.02,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,7.53,27.81,0.00,0.00,0.00,0.00,520.00,25.00,Dearated 1M NaCl,1.00,7.00,"Potentiodynamic Polarization in a the electrode flat cell, prior to sweep help at OCP for 5 mins then cathodically polarized for 5mins to remove surface films",1.00,NA,FCC,NA,HEA,24,,
54,15.68,14.60,24.72,13.47,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,6.72,24.82,0.00,0.00,0.00,0.00,514.00,25.00,Dearated 1M NaCl,1.00,7.00,"Potentiodynamic Polarization in a the electrode flat cell, prior to sweep help at OCP for 5 mins then cathodically polarized for 5mins to remove surface films",1.00,NA,FCC and Cr and Mo rich Sigma,NA,HEA,24,,
55,14.51,13.51,22.87,19.94,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,6.22,22.96,0.00,0.00,0.00,0.00,235.00,25.00,Dearated 1M NaCl,1.00,7.00,"Potentiodynamic Polarization in a the electrode flat cell, prior to sweep help at OCP for 5 mins then cathodically polarized for 5mins to remove surface films",1.00,NA,FCC and Cr and Mo rich Sigma,NA,HEA,24,,
56,25.00,23.00,26.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,-17.00,25.00,0.1M NaCl,0.10,7.00,"Potentiodynamic Polarization in a three electrode flat cell, prior to anodic sweep OCP measured for 30 mins",1.00,NA,NA,NA,HEA,27,,
57,0.00,13.31,81.45,5.24,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-33.8,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,NA,NA,NA,NA,NiCrMo Alloy,44,,
58,0.00,20.53,74.55,4.92,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81.67,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,NA,NA,NA,NA,NiCrMo Alloy,44,,
59,0.00,16.95,74.64,8.41,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.86,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,NA,NA,NA,NA,NiCrMo Alloy,44,,
60,0.00,28.67,65.94,5.38,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.68,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,NA,NA,NA,NA,NiCrMo Alloy,44,,
61,0.00,16.75,73.56,9.69,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.16,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,NA,NA,NA,NA,NiCrMo Alloy,44,,
62,0.00,32.02,62.82,5.16,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-53.4,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,NA,NA,NA,NA,NiCrMo Alloy,44,,
63,0.00,26.63,66.5,6.87,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,NA,NA,NA,NA,NiCrMo Alloy,44,,
64,0.00,13.98,74.36,11.66,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.16,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,NA,NA,NA,NA,NiCrMo Alloy,44,,
65,0.00,10.53,74.44,15.03,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.86,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,NA,NA,NA,NA,NiCrMo Alloy,44,,
66,0.00,13.06,72.04,14.9,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.2,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,NA,NA,NA,NA,NiCrMo Alloy,44,,
67,0.00,22.59,65.14,12.27,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,NA,NA,NA,NA,NiCrMo Alloy,44,,
68,0.00,26.52,61.68,11.8,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,NA,NA,NA,NA,NiCrMo Alloy,44,,
69,0.00,18.3,66.67,15.03,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,NA,NA,NA,NA,NiCrMo Alloy,44,,
70,0.00,28.97,59.12,11.91,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.10,NA,Amorphous,NA,NiCrMo Alloy,44,,
71,0.00,30.31,56.91,12.79,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.10,NA,Amorphous,NA,NiCrMo Alloy,44,,
72,0.00,29.27,56.08,14.64,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.10,NA,Nanocrystalline,NA,NiCrMo Alloy,44,,
73,0.00,9.52,69.41,21.07,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.10,NA,Nanocrystalline,NA,NiCrMo Alloy,44,,
74,0.00,25.5,55.75,18.76,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.10,150 °C for 25 Hrs,Fully Crystalline,NA,NiCrMo Alloy,44,,
75,0.00,19.94,59.14,20.93,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.10,150 °C for 25 Hrs,Fully Crystalline,NA,NiCrMo Alloy,44,,
76,0.00,26.34,54.35,19.3,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,284.2,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.10,550 °C for1 Hrs,NA,NA,NiCrMo Alloy,44,,
77,0.00,22.03,56.36,21.61,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.10,550 °C for1 Hrs,Amorphous,NA,NiCrMo Alloy,44,,
78,0.00,19.04,57.97,22.98,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.10,NA,Nanocrystalline,NA,NiCrMo Alloy,44,,
79,0.00,20.25,54.4,25.34,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,45.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.10,Rapid Solidification by deposition of molten alloys on a cooled wheel,Fully Crystalline,NA,NiCrMo Alloy,44,,
80,0.00,13.31,81.45,5.24,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-200,60.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.10,150 °C for 25 Hrs,Amorphous,NA,NiCrMo Alloy,44,,
81,0.00,20.53,74.55,4.92,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.9,60.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.10,550 °C for1 Hrs,Nanocrystalline,NA,NiCrMo Alloy,44,,
82,0.00,16.95,74.64,8.41,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-94.9,60.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.10,Rapid Solidification by deposition of molten alloys on a cooled wheel,Fully Crystalline,NA,NiCrMo Alloy,44,,
83,0.00,28.67,65.94,5.38,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-82,60.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.10,150 °C for 25 Hrs,NA,NA,NiCrMo Alloy,44,,
84,0.00,16.75,73.56,9.69,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-101.3,60.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.10,550 °C for1 Hrs,NA,NA,NiCrMo Alloy,44,,
85,0.00,32.02,62.82,5.16,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-43.4,60.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.20,NA,NA,NA,NiCrMo Alloy,44,,
86,0.00,26.63,66.5,6.87,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.8,60.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.20,NA,NA,NA,NiCrMo Alloy,44,,
87,0.00,13.98,74.36,11.66,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-114.1,60.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.20,NA,NA,NA,NiCrMo Alloy,44,,
88,0.00,10.53,74.44,15.03,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.3,60.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.20,NA,NA,NA,NiCrMo Alloy,44,,
89,0.00,13.06,72.04,14.9,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-30.5,60.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.20,NA,NA,NA,NiCrMo Alloy,44,,
90,0.00,22.59,65.14,12.27,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,60.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.20,NA,NA,NA,NiCrMo Alloy,44,,
91,0.00,26.52,61.68,11.8,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,60.00,0.5M NaCl,0.50,7.00,Potentiodynamic Polarization,0.20,NA,NA,NA,NiCrMo Alloy,44,,
