,"Composition, wt.%",,,,,,,,,,,,,,,,,,,,,,,,"Epit, mV (SCE)",,,Test Temp.,Test Solution,[Cl-],,,Scan Rate,Heat treatment,Microstructures,Comments,Reference,Material class,,,,
No.,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd,Avg.,Max,Min,oC,,M,pH,Test Method,mV/s,,,,,,,,,
148.00,64.23,17.40,13.20,2.57,0.00,0.16,0.00,0.02,0.64,1.73,NA,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00,NA,NA,NA, deareated (by H2) 1 M HCl,0.0000,0.00,"Potentiodynamic Polarization. the sample was kept immersed in the experimental solution for 5 min at open-circuit potential (OCP). The anodic potential was increased in steps of 20 mVSCE, and the current readings were recorded after waiting at each set potential for 1 min.",0.33,soution-annealed at 1100C for 20 min and water quenched,NA,"600 grit surface finish, 316LN (UNS S31653), exposed area 3 cm2",45,Fe Alloy,,,,
149.00,64.23,17.40,13.20,2.57,0.00,0.16,0.00,0.02,0.64,1.73,NA,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,720.00,NA,NA,NA,deareated (by H2) 3 M NaCl,3.0000,7.00,"Potentiodynamic Polarization. the sample was kept immersed in the experimental solution for 5 min at open-circuit potential (OCP). The anodic potential was increased in steps of 20 mVSCE, and the current readings were recorded after waiting at each set potential for 1 min.",0.33,soution-annealed at 1100C for 20 min and water quenched,NA,"600 grit surface finish, 316LN (UNS S31653), exposed area 3 cm2",45,Fe Alloy,,,,
150.00,64.23,17.40,13.20,2.57,0.00,0.16,0.00,0.02,0.64,1.73,NA,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00,NA,NA,NA,deareated (by H2) 4 M NaCl,4.0000,7.00,"Potentiodynamic Polarization. the sample was kept immersed in the experimental solution for 5 min at open-circuit potential (OCP). The anodic potential was increased in steps of 20 mVSCE, and the current readings were recorded after waiting at each set potential for 1 min.",0.33,soution-annealed at 1100C for 20 min and water quenched,NA,"600 grit surface finish, 316LN (UNS S31653), exposed area 3 cm2",45,Fe Alloy,,,,
151.00,64.23,17.40,13.20,2.57,0.00,0.16,0.00,0.02,0.64,1.73,NA,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.00,NA,NA,NA,deareated (by H2) 6.2 M NaCl,6.2000,7.00,"Potentiodynamic Polarization. the sample was kept immersed in the experimental solution for 5 min at open-circuit potential (OCP). The anodic potential was increased in steps of 20 mVSCE, and the current readings were recorded after waiting at each set potential for 1 min.",0.33,soution-annealed at 1100C for 20 min and water quenched,NA,"600 grit surface finish, 316LN (UNS S31653), exposed area 3 cm2",45,Fe Alloy,,,,
152.00,59.39,20.12,20.18,0.01,0.02,0.01,0.00,0.00,0.08,0.18,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,239.00,NA,NA,22,0.1 M HCl + 0.4 M NaCl,0.5000,1.00,"Potentiodynamic Polarization. All solutions used were deaerated with high-purity argon for at least 2 h before analysis. Potentials were measured against a saturated calomel electrode (SCE). Cathodic pretreatments were performed in 0.1 M hydrochloric acid (HCl) for 15 min at –700 mV SCE , while the current was monitored, in order to remove the air-formed oxide film.",1.00,"0.25 um diamond finish, annealed at 1100C for 3h and water quenched",NA,None,31,Fe Alloy,,,,
153.00,82.37,16.35,0.17,0.02,0.00,NA,0.00,0.09,0.32,0.56,0.08,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-185.00,NA,NA,25,Hydrogen-saturated 1 M NaCl,1.0000,7.00,Potentiodynamic Polarization,0.17,solution-annealed,NA,"AISI 430SS, abraded through 2.0 emery paper",46,Fe Alloy,,,,
154.00,82.37,16.35,0.17,0.02,0.00,NA,0.00,0.09,0.32,0.56,0.08,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-130.00,NA,NA,25,Nitrogen-saturated 1 M NaCl,1.0000,7.00,Potentiodynamic Polarization,0.17,solution-annealed,NA,"AISI 430SS, abraded through 2.0 emery paper",46,Fe Alloy,,,,
155.00,82.37,16.35,0.17,0.02,0.00,NA,0.00,0.09,0.32,0.56,0.08,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00,NA,NA,25,Argon-saturated 1 M NaCl,1.0000,7.00,Potentiodynamic Polarization,0.17,solution-annealed,NA,"AISI 430SS, abraded through 2.0 emery paper",46,Fe Alloy,,,,
156.00,82.37,16.35,0.17,0.02,0.00,NA,0.00,0.09,0.32,0.56,0.08,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-35.00,NA,NA,25,Oxygen-saturated 1 M NaCl,1.0000,7.00,Potentiodynamic Polarization,0.17,solution-annealed,NA,"AISI 430SS, abraded through 2.0 emery paper",46,Fe Alloy,,,,
157.00,71.07,18.10,8.22,0.36,0.00,NA,0.00,0.08,0.56,1.33,0.22,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-50.00,NA,NA,25,Hydrogen-saturated 1 M NaCl,1.0000,7.00,Potentiodynamic Polarization,0.17,solution-annealed,NA,"AISI 304SS, abraded through 2.0 emery paper",46,Fe Alloy,,,,
158.00,71.07,18.10,8.22,0.36,0.00,NA,0.00,0.08,0.56,1.33,0.22,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.00,NA,NA,25,Nitrogen-saturated 1 M NaCl,1.0000,7.00,Potentiodynamic Polarization,0.17,solution-annealed,NA,"AISI 304SS, abraded through 2.0 emery paper",46,Fe Alloy,,,,
159.00,71.07,18.10,8.22,0.36,0.00,NA,0.00,0.08,0.56,1.33,0.22,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,NA,NA,25,Argon-saturated 1 M NaCl,1.0000,7.00,Potentiodynamic Polarization,0.17,solution-annealed,NA,"AISI 304SS, abraded through 2.0 emery paper",46,Fe Alloy,,,,
160.00,71.07,18.10,8.22,0.36,0.00,NA,0.00,0.08,0.56,1.33,0.22,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,NA,NA,25,Oxygen-saturated 1 M NaCl,1.0000,7.00,Potentiodynamic Polarization,0.17,solution-annealed,NA,"AISI 304SS, abraded through 2.0 emery paper",46,Fe Alloy,,,,
161.00,63.12,17.95,0.07,0.00,0.00,0.03,0.00,0.02,0.34,18.25,0.20,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.83,NA,NA,NA,"1000 ppm NaCl, pH=5 by acetic acid  ",0.0171,5.00,"Potentiodynamic Polarization. Before the test, the sample remain in contact with the solution for 30 min. at -0.3 to -0.1 V to passivate or reach equilibrium.",0.19,NA,NA,exposed area 1 cm2,47,Fe Alloy,,,,
162.00,63.16,17.88,0.07,0.00,0.00,0.10,0.00,0.03,0.32,18.20,0.22,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.87,NA,NA,NA,"1000 ppm NaCl, pH=5 by acetic acid  ",0.0171,5.00,"Potentiodynamic Polarization. Before the test, the sample remain in contact with the solution for 30 min. at -0.3 to -0.1 V to passivate or reach equilibrium.",0.19,NA,NA,exposed area 1 cm2,47,Fe Alloy,,,,
163.00,63.07,17.88,0.07,0.00,0.00,0.18,0.00,0.03,0.38,18.14,0.23,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.73,NA,NA,NA,"1000 ppm NaCl, pH=5 by acetic acid  ",0.0171,5.00,"Potentiodynamic Polarization. Before the test, the sample remain in contact with the solution for 30 min. at -0.3 to -0.1 V to passivate or reach equilibrium.",0.19,NA,NA,exposed area 1 cm2,47,Fe Alloy,,,,
164.00,62.87,17.88,0.08,0.00,0.00,0.33,0.00,0.03,0.37,18.20,0.22,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,265.77,NA,NA,NA,"1000 ppm NaCl, pH=5 by acetic acid  ",0.0171,5.00,"Potentiodynamic Polarization. Before the test, the sample remain in contact with the solution for 30 min. at -0.3 to -0.1 V to passivate or reach equilibrium.",0.19,NA,NA,exposed area 1 cm2,47,Fe Alloy,,,,
165.00,62.78,18.10,0.08,0.00,0.00,0.40,0.00,0.03,0.37,18.00,0.22,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,306.39,NA,NA,NA,"1000 ppm NaCl, pH=5 by acetic acid  ",0.0171,5.00,"Potentiodynamic Polarization. Before the test, the sample remain in contact with the solution for 30 min. at -0.3 to -0.1 V to passivate or reach equilibrium.",0.19,NA,NA,exposed area 1 cm2,47,Fe Alloy,,,,
166.00,63.20,17.83,0.08,0.00,0.00,0.52,0.00,0.04,0.29,17.80,0.22,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,334.86,NA,NA,NA,"1000 ppm NaCl, pH=5 by acetic acid  ",0.0171,5.00,"Potentiodynamic Polarization. Before the test, the sample remain in contact with the solution for 30 min. at -0.3 to -0.1 V to passivate or reach equilibrium.",0.19,NA,NA,exposed area 1 cm2,47,Fe Alloy,,,,
167.00,62.04,18.25,0.07,0.00,0.00,0.69,0.00,0.04,0.40,18.25,0.24,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,398.91,NA,NA,NA,"1000 ppm NaCl, pH=5 by acetic acid  ",0.0171,5.00,"Potentiodynamic Polarization. Before the test, the sample remain in contact with the solution for 30 min. at -0.3 to -0.1 V to passivate or reach equilibrium.",0.19,NA,NA,exposed area 1 cm2,47,Fe Alloy,,,,
168.00,53.13,20.14,24.75,0.08,0.00,0.01,0.00,0.00,0.53,1.31,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324.73,335.44,312.02,40,1 M NaCl,1.0000,7.00,Potentiodynamic Polarization. Gound to 600 grit at least 18 h before the test,0.33,"denitrided in a hydrogen atmosphere for three days at 1300C quenched. Then annealled at 1100C for 20min, brine quenched",NA,NA,42,Fe Alloy,,,,
169.00,53.06,20.14,24.75,0.08,0.00,0.06,0.00,0.01,0.53,1.31,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,424.28,475.82,370.07,40,1 M NaCl,1.0000,7.00,Potentiodynamic Polarization. Gound to 600 grit at least 18 h before the test,0.33,"annealled at 1100C for 20min, brine quenched",NA,NA,42,Fe Alloy,,,,
170.00,52.89,20.03,24.87,0.04,0.00,0.13,0.00,0.01,0.55,1.43,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,491.00,528.48,452.85,40,1 M NaCl,1.0000,7.00,Potentiodynamic Polarization. Gound to 600 grit at least 18 h before the test,0.33,"annealled at 1100C for 20min, brine quenched",NA,NA,42,Fe Alloy,,,,
171.00,52.88,19.96,24.90,0.04,0.00,0.18,0.00,0.01,0.55,1.43,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,664.19,788.02,541.03,40,1 M NaCl,1.0000,7.00,Potentiodynamic Polarization. Gound to 600 grit at least 18 h before the test,0.33,"annealled at 1100C for 20min, brine quenched",NA,NA,42,Fe Alloy,,,,
172.00,48.76,19.85,24.86,4.50,0.00,0.02,0.00,0.00,0.54,1.42,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,441.12,468.04,417.4,75,1 M NaCl,1.0000,7.00,Potentiodynamic Polarization. Gound to 600 grit at least 18 h before the test,0.33,"denitrided in a hydrogen atmosphere for three days at 1300C quenched. Then annealled at 1100C for 20min, brine quenched",NA,NA,42,Fe Alloy,,,,
173.00,48.70,19.85,24.86,4.50,0.00,0.06,0.00,0.02,0.54,1.42,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,443.98,490.13,399.75,75,1 M NaCl,1.0000,7.00,Potentiodynamic Polarization. Gound to 600 grit at least 18 h before the test,0.33,"annealled at 1100C for 20min, brine quenched",NA,NA,42,Fe Alloy,,,,
174.00,48.49,19.87,24.95,4.55,0.00,0.13,0.00,0.02,0.49,1.45,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,589.29,671.98,506.6,75,1 M NaCl,1.0000,7.00,Potentiodynamic Polarization. Gound to 600 grit at least 18 h before the test,0.33,"annealled at 1100C for 20min, brine quenched",NA,NA,42,Fe Alloy,,,,
175.00,48.33,19.83,24.99,4.59,0.00,0.21,0.00,0.01,0.54,1.44,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,751.98,902.62,601.34,75,1 M NaCl,1.0000,7.00,Potentiodynamic Polarization. Gound to 600 grit at least 18 h before the test,0.33,"annealled at 1100C for 20min, brine quenched",NA,NA,42,Fe Alloy,,,,
176.00,52.21,20.06,25.58,0.01,0.00,NA,0.00,0.05,0.54,1.53,NA,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
177.00,51.04,19.99,25.88,1.05,0.00,NA,0.00,0.06,0.48,1.48,NA,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
178.00,49.28,20.16,25.52,2.97,0.00,NA,0.00,0.06,0.52,1.47,NA,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,850.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
179.00,47.34,19.96,25.66,5.06,0.00,NA,0.00,0.06,0.46,1.44,NA,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,850.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
180.00,0.00,100.00,0.00,0.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,830.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Other,,,,
181.00,0.00,0.00,100.00,0.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-150.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Other,,,,
182.00,55.00,20.00,25.00,0.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
183.00,50.00,20.00,25.00,5.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,850.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
184.00,85.00,15.00,0.00,0.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
185.00,80.00,20.00,0.00,0.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
186.00,77.00,23.00,0.00,0.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
187.00,72.00,28.00,0.00,0.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,910.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
188.00,70.00,30.00,0.00,0.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,900.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
189.00,60.00,40.00,0.00,0.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,900.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
190.00,40.00,60.00,0.00,0.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,910.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
191.00,30.00,70.00,0.00,0.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,850.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Other,,,,
192.00,96.00,0.00,0.00,4.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1500.00,NA,NA,25,1N H2SO4,0.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
193.00,92.00,0.00,0.00,8.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1550.00,NA,NA,25,1N H2SO4,0.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
194.00,90.00,0.00,0.00,10.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1550.00,NA,NA,25,1N H2SO4,0.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
195.00,80.00,0.00,0.00,20.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1550.00,NA,NA,25,1N H2SO4,0.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
196.00,41.00,0.00,0.00,59.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,NA,NA,25,1N H2SO4,0.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
197.00,65.00,5.00,25.00,5.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-310.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
198.00,60.00,10.00,25.00,5.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
199.00,56.00,14.00,25.00,5.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
200.00,53.00,17.00,25.00,5.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
201.00,50.00,20.00,25.00,5.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,880.00,NA,NA,25,1N HCl,1.0000,0.00,Potentiodynamic Polarization,0.42,NA,NA,None,57,Fe Alloy,,,,
202.00,75.59,24.30,0.00,0.06,NA,NA,0.00,NA,0.04,0.00,NA,NA,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,497.00,NA,NA,25,0.1M H2SO4 + 0.4 M Na2SO4,0.0000,0.70,Potentiodynamic Polarization,NA,1300C 58h,NA,None,58,Fe Alloy,,,,
203.00,64.66,24.30,0.00,10.90,0.02,NA,0.00,NA,NA,0.12,NA,NA,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,895.00,NA,NA,25,0.1M H2SO4 + 0.4 M Na2SO4,0.0000,0.70,Potentiodynamic Polarization,NA,1300C 58h,NA,None,58,Fe Alloy,,,,
204.00,75.59,24.30,0.00,0.06,NA,NA,0.00,NA,0.04,0.00,NA,NA,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1056.00,NA,NA,25,0.1M H2SO4 + 0.4M Na2SO4 + 0.12M NaCl,0.1200,0.70,Potentiodynamic Polarization,NA,1300C 58h,NA,None,58,Fe Alloy,,,,
205.00,64.66,24.30,0.00,10.90,0.02,NA,0.00,NA,NA,0.12,NA,NA,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,856.00,NA,NA,25,0.1M H2SO4 + 0.4M Na2SO4 + 0.12M NaCl,0.1200,0.70,Potentiodynamic Polarization,NA,1300C 58h,NA,None,58,Fe Alloy,,,,
206.00,76.00,24.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,884.30,NA,NA,65,Deaerated 0.1 M H2SO4 + 0.4M Na2SO4,0.0000,0.70,"Potentiostatic Polarization at different potentials. The working electrode was a rotating disk, the rotation rate was 3000 rpm in all experiments.",NA,NA,NA,Since no chloride ion was present. The breakdown potential measured was likely due to transpassive dissolution. The alloys were mecanically polished and cathodically prepolarised before an experiment. The polarisation experiments were carried out in absence of air by applying a constant potential for three hours.,59,Fe Alloy,,,,
207.00,76.00,24.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,487.50,NA,NA,65,Deaerated 0.1 M H2SO4 + 0.4M Na2SO4 + 0.12 M NaCl,0.1200,0.70,"Potentiostatic Polarization at different potentials. The working electrode was a rotating disk, the rotation rate was 3000 rpm in all experiments.",NA,NA,NA,The alloys were mecanically polished and cathodically prepolarised before an experiment. The polarisation experiments were carried out in absence of air by applying a constant potential for three hours.,59,Fe Alloy,,,,
208.00,59.31,20.12,20.18,0.01,0.02,0.01,0.00,0.00,0.08,0.18,NA,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,549.60,NA,NA,22,Deaerated 0.1M HCl + 0.4M NaCl,0.5000,1.00,Potentiodynamic Polarization. The specimens were activated at the cathodic potential of 2700 mV saturated calomel electrode (SCE) for 10 min.,1.00,NA,NA,"Specimens, with an area of 0.95 cm2, were pretreated by grinding on emery paper down to 600 grit, polished with diamond paste to 1 mm, ultrasonically cleaned in ethanol, and dried in hot air. The electrolyte was deaerated by Ar bubbling for 2 h before exposure.",61,Fe Alloy,,,,
209.00,71.72,19.20,9.00,0.00,0.00,0.00,0.00,0.05,NA,NA,NA,NA,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-50.00,NA,NA,25, deaerated 0.3M NaCl (pH 5.4),0.3000,5.40,"Potentiodynamic Polarization. Before athe test, specimens were cathodically polarized at - 1.150 V(SCE) for 15 min to reduce the polish-formed film.",1.00,annealed at 1100 C for 3 h followed by a water quench,NA,"0.25 um diamond polish finish, cathodically polarized at - 1.150 V(SCE) for 15 min to reduce the polish-formed film",63,Fe Alloy,,,,
210.00,71.72,19.20,9.00,0.00,0.00,0.00,0.00,0.05,NA,NA,NA,NA,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,525.00,NA,NA,25,deaerated 0.3M NaCl (pH 9.0),0.3000,9.00,"Potentiodynamic Polarization. Before athe test, specimens were cathodically polarized at - 1.150 V(SCE) for 15 min to reduce the polish-formed film.",1.00,annealed at 1100 C for 3 h followed by a water quench,NA,"0.25 um diamond polish finish, cathodically polarized at - 1.150 V(SCE) for 15 min to reduce the polish-formed film",63,Fe Alloy,,,,
211.00,72.10,17.60,10.30,0.00,0.00,NA,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,507.01,NA,NA,0, 0.1N NaCl ,0.1000,7.00,"Potentiostatic Polarization, Potentiostatic polarization curves were obtained at 25°C and at 0°C in N,-saturated 0.1N NaCl and O*lN NaBr. The electrode totally immersed was first polarized in the least noble passive region for 15min, then the potential was moved in the noble direction 50mV every Smin until the pitting potential was approximated and the current showed a marked increase. This was followed by longer-time runs of 12-15h at a single potential in the neighbourhood of the critical potential in order to establish the steady state value. The least noble potential at which the current did not continuously increase with time and at which no pits could be observed under a low power microscope was taken as the final value. ",0.17,"Alloys were prepared by vacuum melting in dense alumina crucibles decarburized electrolytic Fe, electrolytic Cr and carbonyl Ni, the latter supplied by courtesy of the International Nickel Company. Re containing 15 ppm Fe but less than I ppm of any other detectable impurity was supplied by courtesy of Ledgemont Laboratory,Kennecott Copper Corporation. The melt was cast in a purified argon atmosphere by drawing into 7mm dia. Vycor tubes and quenching in water. The alloys were homogenized at 1050°C for 17h, swaged to 0.4cm diameter rods, annealed at 1050°C and water quenched. ",NA,"The electrode totally immersed was first polarized in the least noble passive region for 15min, then the potential was moved in the noble direction 50mV every 5min until the pitting potential was approximated and the current showed a marked increase.",81,Fe Alloy,,,,
