,"Composition, wt.%",,,,,,,,,,,,,,"Ecrev, mV (SCE)",,,Test Temp.,Test Solution,[Cl-],pH,Test Method,Scan Rate,Heat treatment,Microstructures,Comments,Reference,,
No,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,Avg.,Max,Min,oC,,M,,,mV/s,,,,,Material class,
10,55.29,16.58,20.29,2.72,0.00,0.31,0.00,0.03,0.23,4.53,NA,0.019,0.01,0.00,70,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
11,53.00,22.58,19.88,0.05,0.00,0.05,0.00,0.01,0.13,4.28,NA,0.007,0.009,0.00,-60,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
12,52.28,22.46,20.27,0.10,0.00,0.39,0.00,0.02,0.14,4.33,NA,0.008,0.008,0.00,80,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
13,52.12,22.13,20.30,0.99,0.00,0.05,0.00,0.02,0.16,4.20,NA,0.015,0.007,0.00,-10,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
14,52.19,22.52,19.85,1.07,0.00,0.16,0.00,0.01,0.15,4.02,NA,0.016,0.018,0.00,-70,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
15,51.85,22.72,19.95,1.02,0.00,0.41,0.00,0.01,0.20,3.80,NA,0.02,0.015,0.00,65,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
16,50.37,22.41,19.96,2.64,0.00,0.07,0.00,0.03,0.21,4.29,NA,0.013,0.011,0.00,40,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
17,50.11,22.84,20.05,2.85,0.00,0.16,0.00,0.01,0.14,3.80,NA,0.017,0.019,0.00,150,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
18,49.66,22.35,20.39,2.73,0.00,0.31,0.00,0.02,0.16,4.35,NA,0.015,0.011,0.00,130,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
19,50.08,22.52,19.95,2.96,0.00,0.46,0.00,0.02,0.23,3.75,NA,0.019,0.017,0.00,905,NA,NA,25,0.6 M NaCl and 0.1M NaHCO3,0.6000,7.68,"A potentiodynamic technique was used to measure the pitting potential in an aerated solution of 0.6 M sodium chloride and 0.1M sodium bicarbonate. Following pretreatment for 5 min at -1.5 V, the potential was increased-rapidly to -0.5V and thereafter at a steady rate of 1V in 50 min. ",0.33, Ingots were cast and hot rolled to 20 mm diameter bars which were heat treated at 1100°c for 30 min and cooled in still air,NA,The specimen surface was ground to a 120 grit finish and 5 cm2 was exposed to the corrodent. ,71,Fe Alloy,
