Date,Close,High,Low,Open,Volume
2015-01-28,138.4441375732422,141.59587708255438,138.05365820414679,140.94507813406204,982100
2015-01-29,139.104248046875,139.42036259724844,135.92461772246406,138.52782806703507,915300
2015-01-30,136.1477508544922,139.13213428514592,135.70149069582854,137.61670532087953,1005800
2015-02-02,135.7200469970703,136.77063146268762,133.3585726974711,136.55680058267453,1538800
2015-02-03,138.13731384277344,138.29536398496552,134.2232001562295,135.7014605428052,1241400
2015-02-04,139.9595184326172,142.13506586721508,135.05992259500636,137.75609482372445,1784300
2015-02-05,139.79222106933594,143.09271860454265,139.1228238266773,142.71153130512678,1203700
2015-02-06,137.3563690185547,140.00605346158036,137.00307208494343,139.72713557643215,1164200
2015-02-09,136.80787658691406,138.74169001271457,136.33372593489094,136.9194522946052,756700
2015-02-10,140.9915313720703,141.21466848635208,137.5980711038469,138.2767603202214,784700
2015-02-11,142.54420471191406,142.96257448784505,140.31287559635823,140.80562442810984,717100
2015-02-12,142.9253692626953,143.88297649591246,142.07933769966948,143.17639678768387,655800
2015-02-13,141.9398651123047,142.82309325344465,141.12170977161782,142.52559124814667,727100
2015-02-17,143.9759521484375,143.99455045764097,141.6888424524241,141.89338129460225,914900
2015-02-18,144.47793579101562,144.52442445243753,143.40876751005027,143.76206431323953,724000
2015-02-19,142.50697326660156,144.3664066486672,142.367521437487,143.54825142092605,1064100
2015-02-20,145.14735412597656,145.8167512270595,141.93054256621377,142.32102184412054,1293400
2015-02-23,152.95706176757812,153.88677887063793,145.53790907098377,145.55650738522496,3259700
2015-02-24,152.88258361816406,154.0075326394593,152.13880758046466,152.94765639630072,1024500
2015-02-25,153.7472381591797,154.51890468248877,152.36196942734614,152.8826084825064,804000
2015-02-26,151.86929321289062,152.93846219809132,150.94886818132727,152.44571327242244,1720000
2015-02-27,152.8268585205078,154.10056605018858,151.2649268542267,151.2649268542267,1495300
2015-03-02,150.6140899658203,153.2637879638329,149.90751045331342,152.82682002470312,2140400
2015-03-03,148.9871368408203,150.61414145530665,148.36422820506522,150.27015073359152,1223500
2015-03-04,148.959228515625,150.00981305113984,147.5925436692597,148.02951170510997,2300900
2015-03-05,150.71640014648438,151.367199108642,148.91274717539514,148.91274717539514,972900
2015-03-06,148.50364685058594,150.67919474437258,147.96440945375687,149.6379023773038,1245400
2015-03-09,150.93017578125,151.59957280758266,148.58730037543393,148.83831362054752,1046600
2015-03-10,147.8250274658203,149.3962517256831,147.04406846129282,149.33116471546018,2359000
2015-03-11,149.68443298339844,150.00053335019092,147.82499903329412,148.364236581187,956700
2015-03-12,152.73388671875,152.82686408056543,149.78668593452798,150.49326565072275,992500
2015-03-13,154.7978057861328,154.88147687102324,151.199807272357,151.9993640739015,1525600
2015-03-16,162.0589141845703,162.9793388160089,155.45793418839997,155.88559592202535,2796100
2015-03-17,161.77069091796875,162.67251716891369,160.5062757548341,160.51556781389291,1647000
2015-03-18,166.07528686523438,166.93991652537608,161.49177648287292,162.09610080676177,1850000
2015-03-19,168.24156188964844,170.1102875896557,165.74991343661924,166.0288313197248,1703200
2015-03-20,169.9429473876953,170.14748624238337,167.42342251113095,169.4966872439915,2256300
2015-03-23,169.3014373779297,170.18466551330175,168.62273389004088,169.9429300625759,974200
2015-03-24,167.73023986816406,170.11960507432605,167.73023986816406,169.2456688636211,966600
2015-03-25,164.86663818359375,169.9800792293659,164.71788013026577,168.7249562072278,1427100
2015-03-26,163.36981201171875,165.0711951954407,162.52376644959713,164.37390770308008,1473000
2015-03-27,165.3067169189453,165.5395170441994,163.33256219467603,163.6677949434016,1492000
2015-03-30,168.71490478515625,168.90115625788664,167.14118782892686,167.59746699373602,1365300
2015-03-31,165.77235412597656,168.89186797443622,165.77235412597656,167.64406243505235,1303500
2015-04-01,165.41848754882812,166.07032518035743,162.6807552874103,165.59541795074207,822800
2015-04-02,165.735107421875,167.74650447527964,164.88772552841868,165.6047398837282,677400
2015-04-06,165.99581909179688,166.6197218084539,164.4500368457334,164.99944180695456,515300
2015-04-07,165.8468475341797,169.47852451884268,164.79458621418985,169.47852451884268,973400
2015-04-08,166.43344116210938,167.22496717452287,165.60467338617784,166.4148273848455,767200
2015-04-09,165.5023193359375,166.81531591479865,164.20795075217285,165.87480819288234,1382200
2015-04-10,166.20068359375,166.27518134883925,164.76664088301519,165.41847847880373,648200
2015-04-13,166.2938232421875,168.59389011525303,166.23795347344827,166.526623417931,561400
2015-04-14,167.19711303710938,167.6161505717393,165.83755356384654,166.11691665659885,752800
2015-04-15,164.5710906982422,168.24933050892562,163.41641095932076,167.60681398113607,1390800
2015-04-16,165.4557647705078,168.1469489418609,163.98447989085136,167.6161576224044,1510900
2015-04-17,165.26950073242188,165.418496258615,163.95651850870698,164.12412781892766,992700
2015-04-20,166.405517578125,166.9176806674384,166.13547569957316,166.3868895906069,621600
2015-04-21,167.73719787597656,168.02586783887773,166.64769468906118,166.87117377827704,613400
2015-04-22,167.62539672851562,168.08169008831382,166.5265869598888,167.68128069401516,710000
2015-04-23,169.3947296142578,169.52509714918298,166.32176433788376,166.7408018280721,1070500
2015-04-24,169.804443359375,169.86031312465568,169.0129171272475,169.1060428753781,806700
2015-04-27,167.7278594970703,170.37248018867106,167.420561572057,169.94412163013888,1234800
2015-04-28,168.6497802734375,169.52511131349823,165.55818674547805,168.0724403146727,1546400
2015-04-29,156.4882049560547,165.24148162815126,154.4302461502617,163.71431378551773,4526900
2015-04-30,154.20681762695312,156.26476289693898,153.59222185035392,155.70605108920657,2279700
2015-05-01,154.91448974609375,156.4323508531995,153.7132475546777,155.5104573977014,1102900
2015-05-04,157.04701232910156,158.2762042296262,154.39309852223644,154.84937782946406,1115300
2015-05-05,152.94969177246094,156.81416840762,152.6610218726915,155.9015958385763,1466900
2015-05-06,151.85093688964844,154.00200868538244,151.18047110799134,153.91818980592674,1579600
2015-05-07,153.21974182128906,154.8307291039507,151.44115945846204,151.44115945846204,917900
2015-05-08,156.3485565185547,156.62791950723005,153.73188541624563,154.4489137717476,1282700
2015-05-11,155.1566925048828,157.03772233890928,154.9797620569152,156.03202364177625,1064000
2015-05-12,161.4515380859375,162.02887781633692,155.06350244964642,155.16593506720028,3630200
2015-05-13,161.5633087158203,161.91716950080794,159.700907462612,161.17220615772584,1727600
2015-05-14,162.26168823242188,164.1147823553062,161.89852060330296,162.74591647424444,1264900
2015-05-15,163.79818725585938,163.8075083560363,161.5260696247728,162.96941925278017,743200
2015-05-18,164.45936584472656,165.111203531173,163.19293225006098,163.239495129592,1143100
2015-05-19,165.5116424560547,166.64770861784365,164.17071097269744,164.2172738565079,1224800
2015-05-20,166.2565460205078,166.91770468712517,164.78526160165674,165.5209038110823,684100
2015-05-21,166.46139526367188,167.04805612202117,164.84111549717105,165.64194849071455,904500
2015-05-22,166.6848602294922,167.15976728585954,165.01801787915267,166.0702645972595,1144000
2015-05-26,165.6419677734375,166.53591239509177,164.3848412760563,165.8468330427736,1099400
2015-05-27,166.23794555664062,167.77442095977767,165.5861079374005,166.44281083825814,1046500
2015-05-28,166.13551330566406,167.38331878099373,165.0739451206979,165.8282153825167,1105200
2015-05-29,199.88218688964844,204.668557016963,164.27308792842612,166.33103313042545,9938100
2015-06-01,200.13365173339844,202.07055088474635,195.85944395203194,198.48542252416092,5087400
2015-06-02,199.9659881591797,201.15792358898852,198.85785735904702,199.89149041869274,2159500
2015-06-03,198.9137725830078,200.301266674894,197.69390199778306,199.7425405980151,2662300
2015-06-04,198.34571838378906,199.2769189395815,196.91167577982557,197.88011810589285,1725200
2015-06-05,199.63079833984375,200.0219009047199,196.6137031420925,197.8615085932203,1736000
2015-06-08,197.72183227539062,204.3799111233134,197.44246924345808,201.65150008665785,2782500
2015-06-09,197.8521728515625,199.03480147392577,196.85578148879378,197.35863771959043,1897200
2015-06-10,199.6959991455078,200.720325660004,196.99552263855736,197.75909986927607,2558500
2015-06-11,199.43524169921875,201.75393643520985,198.69027833669597,200.2733308104297,1692800
2015-06-12,197.8521728515625,200.55264863816402,197.61006583498877,198.35501487336703,2334100
2015-06-15,192.36737060546875,202.78750482776647,185.12263299668965,197.0978701032379,8060500
2015-06-16,185.8676300048828,192.06941468690917,185.67207164316932,188.97783634038143,6326700
2015-06-17,187.0689239501953,191.1755227962986,186.70575621469615,186.70575621469615,3082000
2015-06-18,185.5883026123047,188.88474684297398,185.2251349071547,187.4507040149189,1864200
2015-06-19,188.39117431640625,188.73571396081064,184.77811176365358,185.88624265229632,1951900
2015-06-22,176.87222290039062,193.28929204478914,176.02482704645809,192.75850094650443,7556000
2015-06-23,176.79774475097656,180.36424471908865,172.3745419443431,176.43457708889693,5301700
2015-06-24,171.55508422851562,176.77912021369923,171.55508422851562,175.98760822139485,2980000
2015-06-25,183.79110717773438,186.2308630663231,171.69481723261782,172.11385477322742,8331700
2015-06-26,182.31756591796875,186.51413393142585,181.058589821972,185.5908838457016,8626300
2015-06-29,179.89292907714844,181.2917854905941,176.49837141638315,179.98619186333946,3176800
2015-06-30,178.38217163085938,183.06368182237188,178.1583494782707,180.7975269958601,3055100
2015-07-01,180.11671447753906,181.02130924539847,176.98327618152814,178.93234563809108,1884200
2015-07-02,174.8570556640625,179.92090916574003,172.53494884207845,179.07228040364384,3720400
2015-07-06,176.21859741210938,181.8513191915523,174.9689416347341,177.18846485330738,13944900
2015-07-07,174.48402404785156,176.6289257703886,169.56005075054577,175.6963548545367,6097700
2015-07-08,173.3275909423828,175.08082841267074,172.95456835418943,173.46747085548043,3527800
2015-07-09,173.607421875,175.45390848232452,173.607421875,174.6332414435562,3591300
2015-07-10,174.6239013671875,175.46320948687114,173.4768431423125,175.3233295435581,2234900
2015-07-13,172.618896484375,175.55648942016109,171.29463315209063,175.55648942016109,2691100
2015-07-14,173.58871459960938,174.37207059531656,172.57221592209171,173.61669058303463,1506200
2015-07-15,174.83837890625,175.3139991467039,172.8986298314093,173.48615402025146,1635200
2015-07-16,173.84982299804688,175.30463096984573,173.19702637350883,175.23002360848434,1806800
2015-07-17,174.8011016845703,175.10885180660904,173.4488766488753,173.81257875130228,1545300
2015-07-20,173.607421875,175.54717127487703,173.23438493469425,175.3886359114612,1285300
2015-07-21,173.31825256347656,174.59586973825986,172.08725253500654,173.70059569665455,1234200
2015-07-22,173.5513916015625,174.27879551964296,172.44163032836602,173.3182489552573,1803800
2015-07-23,172.27377319335938,173.90577184036326,171.78884669806257,173.65398800892416,1506700
2015-07-24,169.5040740966797,171.6769659042971,168.81398076861456,171.60235852803834,1506300
2015-07-27,171.50909423828125,171.80750948602446,168.13317836446282,168.80463045926092,1184400
2015-07-28,172.07798767089844,172.39505836396705,169.59734564415578,171.74226157532496,1214600
