report_date,gross_margin,profit_margin,current_ratio,debt_to_equity,revenue_growth,eps_estimate,eps_actual,eps_difference,surprise_percent
2024-09-30 00:00:00-04:00,0.5914871971269327,0.12516032741773747,0.5955619590963749,1.2551635035996822,,0,0,0,0
2024-07-01 00:00:00-04:00,0.6018058027664351,0.21237886666899336,0.3011020838928402,1.2287684222137418,0.002297054639583962,0,0,0,0
2024-04-01 00:00:00-04:00,0.594331975719405,0.011111684412184238,0.27059155080935177,1.2320443369914902,-0.12631458020684283,0,0,0,0
2024-01-02 00:00:00-05:00,0.5946894439106153,0.12813825290977005,0.4073363934902117,1.381632093241955,-0.07848917043519654,0,0,0,0
2023-10-02 00:00:00-04:00,0.5775255362753978,0.11656558652200195,0.20451934663510246,1.3271335332619414,-0.005001336579656512,0,0,0,0
2023-06-30 00:00:00-04:00,,,,,0.0,0,0,0,0
