report_date,gross_margin,profit_margin,current_ratio,debt_to_equity,revenue_growth,eps_estimate,eps_actual,eps_difference,surprise_percent
2024-09-30 00:00:00-04:00,0.1965404115717268,0.05696391291380853,1.2876106194690264,3.295993875988773,,0,0,0,0
2024-07-01 00:00:00-04:00,0.21329561527581328,0.0727015558698727,1.1652194320582023,3.239113630507601,0.05427974947807934,0,0,0,0
2024-04-01 00:00:00-04:00,0.20287305775432424,0.05482263265904427,1.2852031689240992,3.207910750507099,-0.035077793493635046,0,0,0,0
2024-01-02 00:00:00-05:00,0.1910181482620732,0.04121808674254076,1.24911838790932,3.203834510595358,-0.0469070653767224,0,0,0,0
2023-10-02 00:00:00-04:00,0.18733662503630555,0.04414754574498984,1.2696629213483146,3.262955361723961,0.05905875115349124,0,0,0,0
2023-06-30 00:00:00-04:00,,,,,0.0,0,0,0,0
