report_date,daily_target,weekly_target
2024-09-30 00:00:00-04:00,positive,neutral
2024-07-01 00:00:00-04:00,neutral,neutral
2024-04-01 00:00:00-04:00,neutral,neutral
2024-01-02 00:00:00-05:00,negative,neutral
2023-10-02 00:00:00-04:00,neutral,positive
2023-06-30 00:00:00-04:00,neutral,neutral
