report_date,gross_margin,profit_margin,current_ratio,debt_to_equity,revenue_growth,eps_estimate,eps_actual,eps_difference,surprise_percent
2024-09-30 00:00:00-04:00,0.9044334975369458,0.1684729064039409,0.7325353350916346,15.763237518910742,,0,0,0,0
2024-07-01 00:00:00-04:00,0.8982574480044969,0.10848791455874086,0.7611511601712098,26.73453318335208,-0.12364532019704433,0,0,0,0
2024-04-01 00:00:00-04:00,0.8760816891658013,-0.04672897196261682,0.7933183424349503,25.421348314606742,-0.18802698145025298,0,0,0,0
2024-01-02 00:00:00-05:00,0.8822306892968479,0.0457222029788708,0.7833319188661632,12.292046936114733,-0.0006922810661128542,0,0,0,0
2023-10-02 00:00:00-04:00,0.8951387121404938,0.10817001781623822,0.8036624203821656,11.713090257023312,0.3609282992726013,0,0,0,0
2023-06-30 00:00:00-04:00,,,,,0.0,0,0,0,0
