report_date,daily_target,weekly_target
2024-12-02 00:00:00-05:00,neutral,negative
2024-09-03 00:00:00-04:00,neutral,positive
2024-05-31 00:00:00-04:00,neutral,neutral
2024-02-29 00:00:00-05:00,neutral,neutral
2023-11-30 00:00:00-05:00,neutral,neutral
